Element,Relative Atomic Mass,Atomic Number,Ionization Potential,Electronegativity,Number of d electrons,ZIF or MOF Derived,Hard or Soft Templated,Graphene/Carbon Nanosheets or other 2D Structures,Polymer Derived,Carbon Nanofiber/Nanotubes,Carbon Black Derived,Biomass or other Organic Derived,Main Transition Metal Content (wt. %),Nitrogen Cotent (wt. %),Metal-N Coordination Number (XAS),Pyridinic N Ratio,Pyrrolic N Ratio,Graphitic N Ratio,Oxidized N Ratio,Raman ID/IG Ratio,BET Surface Area (m2/g),Acid Wash,Pyrolysis Temperature (°„C),Pyrolysis Time (h),Rising Rate (°„C min-1),Flow Cell/H-type Cell,Electrolyte Concentration (M),Catalyst Loading (mg cm-2),Nafion Membrane Thickness (¶Ãm),Carbon Paper/Glassy Carbon,Electrode Area cm2,Electrolyte pH,FE of Product (CO) at -0.5V (vs.RHE),FE of Product (CO) at -0.6V (vs.RHE),FE of Product (CO) at -0.7V (vs.RHE),FE of Product (CO) at -0.8V (vs.RHE),FE of Product (CO) at -0.9V (vs.RHE),Potential for Maximum FE of Product (CO) (vs.RHE),"corresponding overpotential (eV) ¶«=E-Eo,CO£¨-0.11 eV£¨Formate£¨-0.011",Overpotential (V),Maximum FE,FE90,FE95,ovpCL
none,0,0,0,0,0,0,0,0,0,1,0,0,0,5.79,0,22.62521589,27.63385147,37.30569948,12.43523316,1.04,741.93,1,800,2,5,0,0.5,2.5,177.8,1,1,7.65,80.59299,72.53881,57.94186,43.04631,28.40287,-0.55,-0.44,0.44,81.33,0,0,0
none,0,0,0,0,0,0,0,0,0,1,0,0,0,5.3,0,28.11320755,16.60377358,39.05660377,16.22641509,1.17,859.97,1,900,2,5,0,0.5,2.5,177.8,1,1,7.65,92.92608,85.24402,70.55827,53.47305,38.74393,-0.45,-0.34,0.34,93.78,1,0,0
none,0,0,0,0,0,0,0,0,0,1,0,0,0,3.28,0,15.85365854,21.95121951,33.84146341,28.35365854,1.07,743.45,1,1000,2,5,0,0.5,2.5,177.8,1,1,7.65,85.92037,80.22415,62.28555,43.44517,31.02473,-0.55,-0.44,0.44,86.66,0,0,0
Fe,55.845,26,7.83,1.83,6,0,0,0,0,1,0,0,1.6,4.6,4,49.8,26.7,23.5,0,1.43,1025.69,1,900,1,5,0,0.1,0.398,50,1,1,6.8,79.37686,85.55703,79.26398,68.85082,58.57876,-0.6,-0.49,0.49,85.55703,0,0,0
none,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,65,20,15,0,1.230061074,514.2401159,0,200,10,2.893886159,0,1,0.316884864,177.8,1,1,13.8,24.92498,39.83934,29.33752,13.37394,11.24711,-0.61,-0.5,0.5,41.37,0,0,0
Ni,58.693,28,7.61,1.91,8,0,1,0,0,0,0,0,2.61,3.06,4,44.2,30.3,20.2,5.1,0.96,545,1,900,2,5,0,0.1,0.48,177.8,1,1,6.8,14.49637,59.67897,84.74667,90.59665,92.80395,-0.9,-0.79,0.79,92.80395,1,0,1
none,0,0,0,0,0,0,1,0,0,0,0,0,0,2.18,0,24.2,54.4,17.6,3.8,1.1,556,1,900,2,5,0,0.1,0.48,177.8,1,1,6.8,6.8188,26.36932,50.28268,62.38292,62.90798,-0.9,-0.79,0.79,62.90798,0,0,1
Ni,58.693,28,7.61,1.91,8,0,1,0,0,0,0,0,2.61,3.04,4,36.9,23.8,29.2,11.1,1,259,1,900,2,5,0,0.1,0.48,177.8,1,1,6.8,4.81922,13.16521,15.8074,18.93298,24.51828,-0.9,-0.79,0.79,24.51828,0,0,1
none,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,30,23,47,0,0.87,608.0382587,0,850,1.464239413,7.656186604,0,0.1,0.5,50,1,3.8,6.8,0.01,3.43791,47.57863,77.15608,68.0142,-0.8,-0.69,0.69,77.15608,0,0,1
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,1.89,4.5,4,36.53056966,17.15239619,46.31703415,0,1.37780633,1090,0,1000,1,5,0,0.5,0.459,177.8,0,0.78539,7.3,94.78858,86.53278,77.27469,52.16441,27.05413,-0.5,-0.39,0.39,94.78858,1,0,0
Ni,58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,1.2,3.36385693,8,40.89333061,5.241688762,38.58861921,15.27636141,2.3,1066,1,900,2,5,0,0.5,0.4,177.8,1,1,7.3,6.47837,30.58307,47.89432,54.54983,53.65324,-0.8,-0.69,0.69,54.54983,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,1.98,3.263535795,4,30.29908973,10.64319296,47.97439232,11.083325,2.41,1066,1,900,2,5,0,0.5,0.4,177.8,1,1,7.3,65.92974,86.48253,92.24145,93.72428,91.65521,-0.8,-0.69,0.69,93.72428,1,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,1.58,3.708867819,4,30.97460792,10.660941,47.06870799,11.29574309,2.94,1171,1,900,2,5,0,0.5,0.4,177.8,1,1,7.3,73.84585,89.836,93.40405,95.51846,92.67723,-0.8,-0.69,0.69,95.51846,1,1,1
Co,58.93,27,7.81,1.88,7,1,0,0,0,0,0,0,4,4.324409948,2,43.53562005,29.84462035,26.6197596,0,1,842,1,900,2,5,0,0.1,0.5,177.8,1,1,6.8,82.41885,94.13839,98.79372,99.14558,99.49743,-0.9,-0.79,0.79,99.49743,1,1,1
Fe,55.845,26,7.83,1.83,6,0,0,0,1,0,0,0,2.6,3.825766306,4,25,19,44,12,1.08,639,1,900,3,3.870799424,0,0.1,0.2,127,1,1,6.8,81.89031,87.58194,72.59086,49.95249,27.91828,-0.6,-0.49,0.49,88.27,0,0,0
Fe,55.845,26,7.83,1.83,6,0,0,0,1,0,0,0,1.82,4.606459434,5,28,11,50,11,1.22,1353,1,900,3,3.949757669,0,0.1,0.2,127,1,1,6.8,96.91968,97.49405,91.51817,79.90145,62.21028,-0.58,-0.47,0.47,98.34,1,1,0
Fe,55.845,26,7.83,1.83,6,0,0,0,1,0,0,0,1.82,4.606459434,5,28,11,50,11,1.22,1353,1,900,3,4.729955544,0,0.1,1,127,1,1,6.8,91.9086,97.06987,91.9086,83.86793,68.70157,-0.58,-0.47,0.47,97.65,1,1,0
Fe,55.845,26,7.83,1.83,6,0,0,0,1,0,0,0,1.82,4.606459434,5,28,11,50,11,1.22,1353,1,900,3,4.338831104,0,0.5,0.5,127,1,1,7.3,90.94118,91.53402,77.24595,54.43829,31.79327,-0.56,-0.45,0.45,95.06,1,1,0
Fe,55.845,26,7.83,1.83,6,0,0,0,1,0,0,0,1.82,4.606459434,5,28,11,50,11,1.22,1353,1,900,3,4.596557459,0,0.5,1,127,1,1,7.3,90.27684,87.4817,73.20694,57.52061,35.24631,-0.58,-0.47,0.47,93.36,1,0,0
Fe,55.845,26,7.83,1.83,6,0,0,0,1,0,0,0,1.82,4.606459434,5,28,11,50,11,1.22,1353,1,900,3,4.305834803,0,1,1,127,1,1,8.8,82.73989,70.18732,46.94028,26.47839,10.57537,-0.52,-0.41,0.41,83.95,0,0,0
none,0,0,0,0,0,0,0,0,0,1,0,0,0,2.51,0,53.3,33.4,13.3,0,0.729,534.9574767,0,700,3,5,0,0.5,0.3537,177.8,0,5,7.3,69.80006,92.55064,95.18839,91.18104,92.98181,-0.9,-0.79,0.79,92.98181,1,0,1
none,0,0,0,0,0,0,0,0,0,1,0,0,0,2.54,0,62.3,21.6,16.1,0,0.744,535.3213225,0,700,3,5,0,0.5,0.3537,177.8,0,5,7.3,81.39093,95.59419,96,94.75722,94.22459,-0.7,-0.59,0.59,96,1,1,1
none,0,0,0,0,0,0,0,0,0,1,0,0,0,2.05,0,58.7,33.9,7.4,0,0.744,589.7285918,0,500,3,5,0,0.5,0.3537,177.8,0,5,7.3,80.03214,94.13549,94.58778,94.13549,87.6389,-0.7,-0.59,0.59,94.58778,1,0,1
none,0,0,0,0,0,0,0,0,0,1,0,0,0,0.98,0,79.6,20.4,0,0,0.744,543.6023474,0,300,3,5,0,0.5,0.3537,177.8,0,5,7.3,76.9072,92.36743,98.41172,98.61731,94.83449,-0.8,-0.69,0.69,98.61731,1,1,1
none,0,0,0,0,0,0,0,0,0,0,0,1,0,10.8,0,40,0,52,7.6,1.105254093,144,0,950,1,3,0,0.1,0.5,127,1,1,6.8,16.10906,28.16391,40.90342,64.15731,46.33177,-0.8,-0.69,0.69,64.15731,0,0,1
none,0,0,0,0,0,0,0,0,0,0,0,1,0,21.4,0,61,0,34,5,1.181758692,144,0,850,1,3,0,0.1,0.5,127,1,1,6.8,47.01643,69.39004,63.10587,51.22218,43.34863,-0.6,-0.49,0.49,69.39004,0,0,0
none,0,0,0,0,0,0,0,0,0,0,0,1,0,14.1,0,72,0,23,5,1.103740847,197,0,950,1,3,0,0.1,0.5,127,1,1,6.8,62.73909,90.54105,80.05113,68.50977,48.60581,-0.6,-0.49,0.49,90.54105,1,0,0
none,0,0,0,0,0,0,0,0,0,0,0,1,0,7.7,0,60,0,34,6,1.130975681,189,0,1050,1,3,0,0.1,0.5,127,1,1,6.8,63.98614,80.56462,65.01313,56.62608,48.94814,-0.6,-0.49,0.49,80.56462,0,0,0
none,0,0,0,0,0,0,0,0,0,0,0,1,0,4.07,0,13.3,71.2,13.5,2.1,1.06,877.44,1,1000,6,5,0,0.1,0.516141278,127,1,1.334889925,6.8,60.53174,61.4532,77.73223,64.37114,32.73452,-0.7,-0.59,0.59,77.73223,0,0,1
none,0,0,0,0,0,0,0,0,0,1,0,0,0,8.26,0,41.8,0,58.2,0,0.91,546,0,900,0.985984464,9.148714324,0,0.1,5,177.8,1,1,6.8,24.42969,38.51032,52.59095,81.36064,66.87439,-0.8,-0.69,0.69,81.36064,0,0,1
none,0,0,0,0,0,0,0,0,0,1,0,0,0,8.67,0,9.2,5.9,84.9,0,0.74,418,0,900,1.060083432,8.830871153,0,0.1,5,177.8,1,1,6.8,8.69763,17.18657,25.67551,41.20476,33.52705,-0.8,-0.69,0.69,41.20476,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,1,0,0,0,1,5.25,4,35.19054311,31.24741671,25.75845251,7.803587666,1.015946332,520.2360027,0,950,2,5,0,0.1,1,177.8,1,1,6.8,68.045115,77.11541,86.185705,95.256,96.09237,-0.9,-0.79,0.79,96.09237,1,1,1
Ni,58.693,28,7.61,1.91,8,0,0,0,1,0,0,0,1,3.87,4,31.5281963,27.20619888,29.94403788,11.32156694,0.972243799,492.7202714,0,950,2,5,0,0.1,1,177.8,1,1,6.8,58.383595,67.65577,76.927945,86.20012,88.88228,-1,-0.89,0.89,90.92994,1,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,1,0,0,0,1,1.35,4,49.05959665,20.31497847,21.07409925,9.551325629,0.994205988,552.5830878,0,950,2,5,0,0.1,1,177.8,1,1,6.8,35.08057,49.91894,64.75731,79.59568,85.56564,-0.9,-0.79,0.79,85.56564,0,0,1
none,0,0,0,0,0,0,0,0,0,1,0,0,0,9.13,0,27.4,45.3,11.1,16.2,0.48,113,0,800,1,10.16443995,0,0.1,2,177.8,1,2,6.8,12.08222,21.11777,39.25482,30.74689,22.23896,-0.7,-0.59,0.59,39.25482,0,0,1
none,0,0,0,0,0,0,0,0,0,1,0,0,0,9.52,0,25.1,47.5,11.4,16,0.47,246,0,800,1,9.689099831,0,0.1,2,177.8,1,2,6.8,33.71477,50.33491,59.04069,47.56488,36.08907,-0.7,-0.59,0.59,59.04069,0,0,1
none,0,0,0,0,0,0,0,0,0,1,0,0,0,9.28,0,26.5,47.2,11.2,15.1,0.5,248,0,800,1,10.31676119,0,0.1,2,177.8,1,2,6.8,58.28223,70.68138,63.45954,54.58887,45.7182,-0.6,-0.49,0.49,70.68138,0,0,0
none,0,0,0,0,0,0,0,0,0,1,0,0,0,9.33,0,27.1,46.1,11.3,15.5,0.52,241,0,800,1,9.551519057,0,0.1,2,177.8,1,2,6.8,77.34262,85.65269,74.37474,67.91136,61.44798,-0.6,-0.49,0.49,85.65269,0,0,0
none,0,0,0,0,0,0,0,0,0,1,0,0,0,9.27,0,27.3,45.2,11.9,15.6,0.55,249,0,800,1,10.12728555,0,0.1,2,177.8,1,2,6.8,87.33449,93.99574,83.24541,77.14477,71.04413,-0.6,-0.49,0.49,93.99574,1,0,0
none,0,0,0,0,0,0,0,0,0,1,0,0,0,9.61,0,27.5,45.4,11.8,15.3,0.58,255,0,800,1,9.517779536,0,0.1,2,177.8,1,2,6.8,65.70194,78.26597,69.03256,64.02014,59.00772,-0.6,-0.49,0.49,78.26597,0,0,0
Cu,63.546,29,7.69,1.9,10,1,0,0,0,0,0,0,1.4,6.751228107,4,46.83293657,36.57863706,9.789307407,6.799118962,1.002883203,629.9706847,0,1050,1,5,0,0.1,2,177.8,1,1,7.2,10.40113,30.54446,37.20657,50.28404,30.54446,-0.8,-0.69,0.69,50.28404,0,0,1
Cu,63.546,29,7.69,1.9,10,1,0,0,0,0,0,0,1.4,6.394900491,4,46.83293657,36.57863706,9.789307407,6.799118962,0.983265349,653.9103078,0,1050,1,5,0,0.1,2,177.8,1,1,6.8,24.86934,50.91211,60.33327,36.69065,28.6378,-0.7,-0.59,0.59,60.33327,0,0,1
Cu,63.546,29,7.69,1.9,10,1,0,0,0,0,0,0,1.4,6.394900491,4,46.83293657,36.57863706,9.789307407,6.799118962,0.983265349,653.9103078,0,1050,1,5,0,0.1,2,177.8,1,1,6.8,53.28984,67.5113,61.47727,40.45911,32.15952,-0.6,-0.49,0.49,67.5113,0,0,0
Cu,63.546,29,7.69,1.9,10,1,0,0,0,0,0,0,1.4,6.394900491,4,46.83293657,36.57863706,9.789307407,6.799118962,0.983265349,653.9103078,0,1050,1,5,0,0.1,2,177.8,1,1,6.8,46.51557,76.95489,73.92666,51.29345,37.56547,-0.6,-0.49,0.49,76.95489,0,0,0
none,0,0,0,0,0,1,0,0,0,0,0,0,0,11.8797625,0,46.8486813,30.20721968,22.94409901,0,1.04,475,1,900,3,5,0,0.1,0.4,177.8,1,1,6.8,0.01,15.89084,35.16765,37.63007,10.49363,-0.79,-0.68,0.68,40.44,0,0,1
none,0,0,0,0,0,1,0,0,0,0,0,0,0,17.71996427,0,46.09695171,31.09109023,22.81195806,0,1.17,732,1,900,3,5,0,0.1,0.4,177.8,1,1,6.8,84.14903,90.34651,81.94168,66.21142,52.5645,-0.58,-0.47,0.47,91.37,1,0,0
Fe,55.845,26,7.83,1.83,6,0,0,0,0,0,1,0,0.52,0.461817582,4,33.22709163,18.0876494,48.68525896,0,0.65,204,1,1000,1,20,0,0.5,0.5,177.8,0,2,7.3,83.35416,76.09701,41.66237,7.22773,0.01,-0.52,-0.41,0.41,83.41,0,0,0
Fe,55.845,26,7.83,1.83,6,0,0,0,0,0,0,1,0.15,3.26602758,5,10.92436975,17.64705882,65.12605042,6.302521008,1.26,1173,1,1000,2,5,0,0.1,1,177.8,1,1,6.8,89.7386,95.17024,91.23887,85.12278,79.00669,-0.57,-0.46,0.46,95.38,1,1,0
Fe,55.845,26,7.83,1.83,6,0,0,0,0,0,0,1,0.31,2.397640417,4,10.9375,9.375,66.14583333,13.54166667,1.14,667,1,1000,2,5,0,0.1,1,177.8,1,1,6.8,9.01871,17.96141,26.90411,35.84681,26.90411,-0.77,-0.66,0.66,40.47,0,0,1
Fe,55.845,26,7.83,1.83,6,0,0,0,0,0,0,1,0.26,3.209259081,5,8,18.18181818,65.09090909,8.727272727,1.25,897,1,1000,2,5,0,0.1,1,177.8,1,1,6.8,87.07572,88.42179,86.83048,82.72651,78.62254,-0.57,-0.46,0.46,88.43,0,0,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,1.74,5.15,4.4,52.91828794,37.54863813,7.19844358,2.33463035,0.98,1241,0,1000,1,2,0,0.5,0.1,127,1,1,7.2,94.39142,90.55812,78.53846,60.50897,44.65601,-0.4,-0.29,0.29,96.0157,1,1,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,1.93,4.88,4,49.59016393,39.75409836,8.401639344,2.254098361,0.99,1235,0,1000,1,2,0,0.5,0.1,127,1,1,7.2,77.79129,73.43823,64.5047,51.73787,31.72675,-0.4,-0.29,0.29,83.24887,0,0,0
Cu,63.546,29,7.69,1.9,10,1,0,0,0,0,0,0,0.51,3.15,3,50,42.99363057,1.910828025,5.095541401,0.98,1075,0,1000,1,2,0,0.5,0.1,127,1,1,7.2,35.17022,19.31727,9.31171,7.49252,8.2072,-0.4,-0.29,0.29,57.94261,0,0,0
none,0,0,0,0,0,1,0,0,0,0,0,0,0,1.53,0,41.44736842,39.47368421,16.44736842,2.631578947,0.97,1679.5,0,1000,1,2,0,0.5,0.1,127,1,1,7.2,35.17022,22.59831,9.31171,4.76373,2.19737,-0.5,-0.39,0.39,35.17022,0,0,0
none,0,0,0,0,0,0,0,0,0,0,0,1,0,5.59,0,10.19677996,12.34347048,40.25044723,37.20930233,1.128787673,101.4,0,600,2.535570816,3.956308143,0,0.5,0.2,177.8,1,4,7.3,31.87612,21.65215,8.5764,1.75031,0.01,-0.5,-0.39,0.39,31.87612,0,0,0
none,0,0,0,0,0,0,0,0,0,0,0,1,0,5.82,0,15.29209622,12.54295533,43.29896907,28.86597938,1.134067678,235.8,0,600,2.51573251,3.745515042,0,0.5,0.2,177.8,1,4,7.3,80.0228,64.00425,43.76868,31.5424,19.31612,-0.4,-0.29,0.29,87.66802,0,0,0
none,0,0,0,0,0,0,0,0,0,0,0,1,0,5.45,0,14.1025641,17.03296703,46.7032967,22.16117216,1.10687861,308.9,0,600,2.679997761,3.844786469,0,0.5,0.2,177.8,1,4,7.3,67.91787,47.86434,27.26472,11.61022,0.01,-0.5,-0.39,0.39,67.91787,0,0,0
none,0,0,0,0,0,0,0,0,0,0,0,1,0,5.59,0,12.00716846,17.20430108,45.51971326,25.2688172,1.118347232,420.7,0,600,2.731744971,3.984727029,0,0.5,0.2,177.8,1,4,7.3,52.77912,37.64037,20.13524,5.51224,0.01,-0.5,-0.39,0.39,52.77912,0,0,0
none,0,0,0,0,0,0,0,0,0,0,0,1,0,5.67,0,16.04938272,14.99118166,52.73368607,16.22574956,1.099336427,235.8,0,600,2.675128823,3.620087054,0,0.5,0.2,177.8,1,4,7.3,85.48195,66.94278,50.22176,36.68995,27.33095,-0.4,-0.29,0.29,92.00941,1,0,0
none,0,0,0,0,0,0,0,0,0,0,0,1,0,4.68,0,17.46724891,14.41048035,50.43668122,17.68558952,1.063640768,235.8,0,700,2.62593957,3.692051069,0,0.5,0.2,177.8,1,4,7.3,64.76696,48.22477,27.33095,18.47864,12.45788,-0.4,-0.29,0.29,71.95014,0,0,0
none,0,0,0,0,0,0,0,0,0,0,0,1,0,3.92,0,15.08951407,10.4859335,58.56777494,15.85677749,1.074193466,235.8,0,900,2.617813469,3.607369831,0,0.5,0.2,177.8,1,4,7.3,33.35171,22.32358,17.46525,13.44147,7.09285,-0.4,-0.29,0.29,37.19665,0,0,0
none,0,0,0,0,0,0,0,0,0,0,0,1,0,5.79,0,12.4567474,12.28373702,47.23183391,28.02768166,1.150718778,235.8,1,600,2.707791927,3.964763627,0,0.5,0.2,177.8,1,4,7.3,70.0228,54.00425,33.76868,21.5424,9.31612,-0.4,-0.29,0.29,77.66802,0,0,0
none,0,0,0,0,0,0,0,0,0,0,0,1,0,5.85,0,10.08547009,12.64957265,50.5982906,26.66666667,1.002761915,235.8,1,600,1.865824897,5.528275374,0,0.5,0.2,177.8,1,4,7.3,60.0228,44.00425,23.76868,11.5424,-0.68388,-0.4,-0.29,0.29,67.66802,0,0,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,0.64,7.03,4,61.3086771,20.76813656,13.22901849,4.694167852,0.97,746,1,900,2,3,0,1,2,127,1,2,8.8,72.4855,61.25579,43.48016,28.67345,13.86674,-0.43,-0.32,0.32,77.26,0,0,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,1.02,4.69,4,56.50319829,22.17484009,14.92537313,6.396588486,0.99,1162,1,900,2,3,0,1,2,127,1,2,8.8,81.76712,73.54143,58.23448,41.04798,23.86148,-0.43,-0.32,0.32,84.77,0,0,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,1.39,3.98,4,53.26633166,22.36180905,16.33165829,8.040201005,1,1181,1,900,2,3,0,1,2,127,1,2,8.8,79.5694,63.4312,44.05466,28.11235,12.17004,-0.43,-0.32,0.32,84.5,0,0,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,1.3,4.52,4,53.09734513,23.67256637,15.7079646,7.522123894,0.99,1148,1,900,2,3,0,1,2,127,1,2,8.8,80.98043,71.07092,56.19361,40.1913,24.18899,-0.43,-0.32,0.32,84.67,0,0,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,1.3,4.52,4,53.09734513,23.67256637,15.7079646,7.522123894,0.99,1148,1,900,2,3,0,0.5,2,127,1,2,7.3,88.15915,84.21796,73.9109,57.30988,40.70886,-0.43,-0.32,0.32,88.69,0,0,0
none,0,0,0,0,0,0,0,1,0,0,0,0,0,6.28641,0,50.65180286,35.36454033,13.98365681,0,0.75,572.7873996,0,700,1,8.855748061,0,0.1,0.4,177.8,1,3.8,6.8,12.02902,17.36715,30.26271,53.3994,54.58548,-0.82,-0.71,0.71,59.29,0,0,1
none,0,0,0,0,0,0,0,1,0,0,0,0,0,6.5261,0,63.22550988,24.64320191,12.13128821,0,0.79,522.9401204,0,800,1,9.495162912,0,0.1,0.4,177.8,1,3.8,6.8,78.32002,84.72512,75.57891,66.40302,55.55444,-0.58,-0.47,0.47,86.29,0,0,0
none,0,0,0,0,0,0,0,1,0,0,0,0,0,3.78865,0,57.70393148,28.52414448,13.77192404,0,0.83,810.1230903,0,900,1,8.666997376,0,0.1,0.4,177.8,1,3.8,6.8,0.16862,7.72513,11.97959,17.86195,17.73098,-0.83,-0.72,0.72,19.55,0,0,1
none,0,0,0,0,0,0,0,1,0,0,0,0,0,3.00908,0,67.85163572,22.32775466,9.820609622,0,0.87,751.6779259,0,1000,1,8.101153998,0,0.1,0.4,177.8,1,3.8,6.8,0.01,0.01,0.49362,4.32793,8.14372,-1.16,-1.05,1.05,11.24,0,0,1
none,0,0,0,0,0,1,0,0,0,0,0,0,0,4.3,0,27.18894009,12.67281106,9.907834101,50.23041475,1.227,686,0,900,2,5,0,0.1,0.5,177.8,0,1,6.8,70.6268,78.49412,80.78506,76.29198,65.35231,-0.7,-0.59,0.59,80.78506,0,0,1
none,0,0,0,0,0,1,0,0,0,0,0,0,0,2.1,0,22.01834862,5.504587156,5.963302752,66.51376147,0.982,945,0,1000,2,5,0,0.1,0.5,177.8,0,1,6.8,84.56777,90.14416,91.13868,86.85871,82.47219,-0.7,-0.59,0.59,91.13868,1,0,1
none,0,0,0,0,0,1,0,0,0,0,0,0,0,1.2,0,19.16666667,6.666666667,7.5,66.66666667,0.832,1188,0,1100,2,5,0,0.1,0.5,177.8,0,1,6.8,88.04858,95.11674,93.82032,91.63594,85.75764,-0.6,-0.49,0.49,95.11674,1,1,0
none,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,37.2596312,13.93864977,48.80171903,0,0.89,85,1,800,4,3.844980394,0,0.5,0.649841032,177.8,0,1.301298096,7.3,38.01369,53.67841,69.18505,81.50179,60.15941,-0.8,-0.69,0.69,81.81,0,0,1
none,0,0,0,0,0,0,0,0,1,0,0,0,0,3.704928879,0,50,31.25,18.75,0,0.862585335,1332,0,800,0.5,30,0,0.1,2.5,177.8,1,1,6.8,1.75263,3.26051,4.4531,5.87677,8.798,-0.98,-0.87,0.87,11.3,0,0,1
none,0,0,0,0,0,0,1,0,0,0,0,0,0,7.2,0,26.39,54.16,19.44,0,2.7,1000,1,750,3,1,0,0.1,0.5,177.8,1,1,6.8,7.36924,11.18005,12.46715,17.53981,14.28422,-0.8,-0.69,0.69,17.53981,0,0,1
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,4.58,8.93,4,36.54,36.17,12.88,14.43,1,1164.6,0,900,3,5,0,0.5,0.4,127,1,1.177209872,7.3,86.25685,79.59718,65.04366,50.49014,35.93662,-0.47,-0.36,0.36,87.37,0,0,0
none,0,0,0,0,0,1,0,0,0,0,0,0,0,19.33701657,0,50,38.89,8.89,2.22,1.02,392,1,700,4,2,0,0.1,4,177.8,1,12.5,7.2,0.01,5.49555,12.58162,22.66783,33.71627,-0.93,-0.82,0.82,77.66,0,0,1
none,0,0,0,0,0,1,0,0,0,0,0,0,0,18.72693727,0,53.44827586,33.33333333,9.770114943,3.448275862,1.04,488,1,700,4,2,0,0.1,4,177.8,1,12.5,7.2,0.01,13.96293,33.69062,46.31611,55.55399,-0.93,-0.82,0.82,57.49,0,0,1
none,0,0,0,0,0,1,0,0,0,0,0,0,0,12.42350061,0,53.44827586,51.51515152,29.03225806,8.823529412,1.12,740,1,700,4,2,0,0.1,4,177.8,1,12.5,7.2,0.01,16.97102,41.29427,58.87088,74.02149,-0.93,-0.82,0.82,36.48,0,0,1
none,0,0,0,0,0,1,0,0,0,0,0,0,0,8.875,0,56.2883398,20.42132514,13.54010897,9.750226081,1.065,650,0,800,3,4.383010265,0,0.5,1,177.8,1,1,7.3,25.35589,13.95441,1.93205,3.06091,2.10138,-0.5,-0.39,0.39,25.35589,0,0,0
none,0,0,0,0,0,1,0,0,0,0,0,0,0,6.608,0,38.67897437,31.14854384,17.93869202,12.23378977,1.01,650,0,900,3,4.364918119,0,0.5,1,177.8,1,1,7.3,46.40913,52.25098,28.20626,12.06357,11.13226,-0.6,-0.49,0.49,52.25098,0,0,0
none,0,0,0,0,0,1,0,0,0,0,0,0,0,4.096,0,38.55167715,15.84777063,29.91324816,15.68730406,0.907,650,0,1000,3,5.305778778,0,0.5,1,177.8,1,1,7.3,87.24563,76.15458,72.03425,50.8399,39.43842,-0.5,-0.39,0.39,87.24563,0,0,0
none,0,0,0,0,0,1,0,0,0,0,0,0,0,1.055,0,29.27740448,21.70107693,27.62158982,21.39992876,0.955,650,0,1100,3,4.743688186,0,0.5,1,177.8,1,1,7.3,95.14765,92.46661,82.16576,66.9826,51.46077,-0.5,-0.39,0.39,95.14765,1,1,0
none,0,0,0,0,0,0,1,0,0,0,0,0,0,6.939267169,0,44.4,32.7,16.5,6.3,0.89,104,1,900,2,5,0,0.1,1,177.8,0,1.009611205,6.8,24.45497,38.36289,24.45497,20.86754,11.18642,-0.6,-0.49,0.49,38.36289,0,0,0
none,0,0,0,0,0,0,1,0,0,0,0,0,0,9.499203168,0,48.1,27.5,17,7.4,0.89,957,1,900,2,5,0,0.1,1,177.8,0,0.850865847,6.8,55.25272,58.11562,55.25272,43.66678,31.57545,-0.6,-0.49,0.49,58.11562,0,0,0
none,0,0,0,0,0,0,1,0,0,0,0,0,0,9.046276646,0,44.1,29.9,17.8,8.3,0.89,899,1,900,2,5,0,0.1,1,177.8,0,0.830921033,6.8,70.22563,77.42268,75.47426,55.68543,38.36289,-0.6,-0.49,0.49,77.42268,0,0,0
none,0,0,0,0,0,0,1,0,0,0,0,0,0,7.554161916,0,44.4,29.8,18.2,7.6,0.89,655,1,900,2,5,0,0.1,1,177.8,0,1.067869937,6.8,62.21651,73.69701,56.42289,42.42827,26.57327,-0.5,-0.39,0.39,62.21651,0,0,0
none,0,0,0,0,0,0,1,0,0,0,0,0,0,9.046276646,0,44.1,29.9,17.8,8.3,0.89,899,1,900,2,5,0,0.1,0.5,177.8,0,1.070942697,6.8,75.49548,77.11717,74.53858,53.14386,40.22679,-0.6,-0.49,0.49,77.11717,0,0,0
